# created: Mon Mar  6 00:50:10 UTC 2023
# script: dump_operator_info
NAME                                                 NAMESPACE                                   CATALOG_SOURCE        SOURCE_NAMESPACE        DEFAULT_CHANNEL                      CHANNELS                                                                                                                                                                      NS_OWN   NS_SINGLE   NS_MULTI   NS_ALL   DISPLAY_NAME
3scale-community-operator                            <none>                                      community-operators   openshift-marketplace   threescale-2.12                      threescale-2.11,threescale-2.12                                                                                                                                               true     true        false      false    3scale API Management
3scale-operator                                      <none>                                      redhat-operators      openshift-marketplace   threescale-2.13                      threescale-2.11,threescale-2.12,threescale-2.13,threescale-mas                                                                                                                true     true        false      false    Red Hat Integration - 3scale
acc-operator                                         netapp-acc-operator                         certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        false    false       false      true     netapp-acc-operator
aci-containers-operator                              <none>                                      certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      false    Cisco ACI Containers Operator
ack-acm-controller                                   ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - Amazon ACM
ack-apigatewayv2-controller                          ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - Amazon API Gateway v2
ack-applicationautoscaling-controller                ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - Amazon Application Auto Scaling
ack-cloudtrail-controller                            ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - Amazon CloudTrail
ack-dynamodb-controller                              ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - Amazon DynamoDB
ack-ec2-controller                                   ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - Amazon EC2
ack-ecr-controller                                   ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - Amazon ECR
ack-eks-controller                                   ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - Amazon EKS
ack-elasticache-controller                           ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - Amazon ElastiCache
ack-emrcontainers-controller                         ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - Amazon EMR on EKS
ack-eventbridge-controller                           ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - Amazon EventBridge
ack-iam-controller                                   ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - Amazon IAM
ack-kinesis-controller                               ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - Amazon Kinesis
ack-kms-controller                                   ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - Amazon KMS
ack-lambda-controller                                ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - Amazon Lambda
ack-memorydb-controller                              ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - MemoryDB
ack-mq-controller                                    ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - Amazon MQ
ack-opensearchservice-controller                     ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - Amazon OpenSearch Service
ack-prometheusservice-controller                     ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - Amazon Prometheus
ack-rds-controller                                   ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - Amazon RDS
ack-route53-controller                               ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - Amazon Route53
ack-s3-controller                                    ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - Amazon S3
ack-sagemaker-controller                             ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - Amazon SageMaker
ack-sfn-controller                                   ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - Amazon Step Functions
ack-sns-controller                                   ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - Amazon SNS
ack-sqs-controller                                   ack-system                                  community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     AWS Controllers for Kubernetes - Amazon SQS
advanced-cluster-management                          open-cluster-management                     redhat-operators      openshift-marketplace   release-2.7                          release-2.4,release-2.5,release-2.6,release-2.7                                                                                                                               true     false       false      false    Advanced Cluster Management for Kubernetes
aerospike-kubernetes-operator                        <none>                                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        true       true     Aerospike Kubernetes Operator
aerospike-kubernetes-operator-rhmp                   <none>                                      redhat-marketplace    openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        true       true     Aerospike Kubernetes Operator
aikit-operator                                       <none>                                      certified-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     Intel® oneAPI AI Analytics Toolkit Operator
aikit-operator-rhmp                                  <none>                                      redhat-marketplace    openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     Intel® oneAPI AI Analytics Toolkit Operator
ako-operator                                         avi-system                                  certified-operators   openshift-marketplace   stable                               alpha,beta,stable                                                                                                                                                             true     true        false      false    AKO Operator
alvearie-imaging-ingestion                           <none>                                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        false      false    Alvearie Imaging Ingestion Operator
amq7-interconnect-operator                           <none>                                      redhat-operators      openshift-marketplace   1.10.x                               1.10.x,1.2.0,latest                                                                                                                                                           true     true        false      false    Red Hat Integration - AMQ Interconnect
amq-broker-rhel8                                     <none>                                      redhat-operators      openshift-marketplace   7.10.x                               7.10.x,7.x                                                                                                                                                                    true     true        true       true     Red Hat Integration - AMQ Broker for RHEL 8 (Multiarch)
amq-online                                           <none>                                      redhat-operators      openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      true     Red Hat Integration - AMQ Online
amq-streams                                          <none>                                      redhat-operators      openshift-marketplace   stable                               amq-streams-1.8.x,amq-streams-1.x,amq-streams-2.0.x,amq-streams-2.1.x,amq-streams-2.2.x,amq-streams-2.3.x,amq-streams-2.x,stable                                              true     true        true       true     Red Hat Integration - AMQ Streams
anchore-engine                                       <none>                                      certified-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        true       true     Anchore Engine Operator
annotationlab                                        <none>                                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     NLP Lab
ansible-automation-platform-operator                 ansible-automation-platform                 redhat-operators      openshift-marketplace   stable-2.3-cluster-scoped            stable-2.1,stable-2.1-cluster-scoped,stable-2.2,stable-2.2-cluster-scoped,stable-2.3,stable-2.3-cluster-scoped                                                                true     true        true       false    Ansible Automation Platform
ansible-cloud-addons-operator                        ansible-automation-platform                 redhat-operators      openshift-marketplace   stable-2.3-cluster-scoped            stable-2.1-cluster-scoped,stable-2.2-cluster-scoped,stable-2.3-cluster-scoped,stable-cluster-scoped                                                                           true     true        true       true     Ansible Cloud Addons
antrea-operator-for-kubernetes                       <none>                                      certified-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        true       true     Antrea Operator
anzo-operator                                        <none>                                      certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      false    Anzo Operator
anzo-operator-rhmp                                   <none>                                      redhat-marketplace    openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      false    Anzo Operator
anzograph-operator                                   <none>                                      certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      false    AnzoGraph Operator
anzograph-operator-rhmp                              <none>                                      redhat-marketplace    openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      false    AnzoGraph Operator
anzounstructured-operator                            <none>                                      certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      false    Anzo Unstructured Operator
anzounstructured-operator-rhmp                       <none>                                      redhat-marketplace    openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      false    Anzo Unstructured Operator
apicast-community-operator                           <none>                                      community-operators   openshift-marketplace   stable                               alpha,stable                                                                                                                                                                  true     true        false      true     APIcast
apicast-operator                                     <none>                                      redhat-operators      openshift-marketplace   threescale-2.13                      threescale-2.11,threescale-2.12,threescale-2.13,threescale-mas                                                                                                                true     true        false      false    Red Hat Integration - 3scale APIcast gateway
apicurio-registry                                    <none>                                      community-operators   openshift-marketplace   2.x                                  2.x                                                                                                                                                                           true     true        true       true     Apicurio Registry Operator
apicurito                                            <none>                                      community-operators   openshift-marketplace   latest                               1.0.x,candidate,latest,stable                                                                                                                                                 true     true        false      false    API Designer
apimatic-codegen-operator                            <none>                                      certified-operators   openshift-marketplace   beta                                 beta                                                                                                                                                                          false    false       false      true     APIMatic CodeGen Operator
apimatic-kubernetes-operator                         <none>                                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     APIMatic Operator
app-director-operator                                <none>                                      community-operators   openshift-marketplace   0.9.1                                0.0.1,0.0.2,0.0.3,0.9.1                                                                                                                                                       false    false       false      true     App-Director
app-director-operator                                <none>                                      certified-operators   openshift-marketplace   0.9.0-stable                         0.7.3,0.7.4,0.8.0,0.8.1,0.9.0,0.9.0-stable,0.9.1                                                                                                                              false    false       false      true     App-Director
appdynamics-operator                                 appdynamics                                 certified-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        false      true     AppDynamics Operator for Kubernetes
application-services-metering-operator               <none>                                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        true       true     Application Services Metering Operator
aqua                                                 <none>                                      community-operators   openshift-marketplace   2022.4.0                             2022.4.0,6.5.0                                                                                                                                                                true     true        false      false    Aqua Security Operator
aqua-operator-certified                              <none>                                      certified-operators   openshift-marketplace   2022.4                               2022.4,6.2,6.5                                                                                                                                                                true     true        false      false    Aqua Security Operator
argocd-operator                                      <none>                                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        false      true     Argo CD
assisted-service-operator                            assisted-installer                          community-operators   openshift-marketplace   alpha                                alpha,ocm-2.3,ocm-2.4,ocm-2.5,ocm-2.6,ocm-2.7,ocm-2.8                                                                                                                         true     true        false      false    Infrastructure Operator for Red Hat OpenShift
authorino-operator                                   <none>                                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     Authorino Operator
aws-efs-csi-driver-operator                          openshift-cluster-csi-drivers               redhat-operators      openshift-marketplace   stable                               4.10,stable                                                                                                                                                                   false    false       false      true     AWS EFS CSI Driver Operator
aws-efs-operator                                     <none>                                      community-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        false    false       false      true     AWS EFS Operator
aws-load-balancer-operator                           <none>                                      redhat-operators      openshift-marketplace   stable-v0.1                          alpha,stable-v0.1                                                                                                                                                             true     true        false      false    AWS Load Balancer Operator
awss3-operator-registry                              <none>                                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        true       false    AWS S3 Operator
awx-operator                                         <none>                                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        true       false    AWX
azure-service-operator                               <none>                                      community-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        false    false       false      true     Azure Service Operator
bamoe-businessautomation-operator                    <none>                                      redhat-operators      openshift-marketplace   8.x-stable                           8.x-stable                                                                                                                                                                    true     true        false      false    IBM Business Automation
bamoe-kogito-operator                                <none>                                      redhat-operators      openshift-marketplace   8.x                                  8.x                                                                                                                                                                           true     true        true       true     IBM BAMOE Kogito Operator
bare-metal-event-relay                               <none>                                      redhat-operators      openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      false    Bare Metal Event Relay
beegfs-csi-driver-operator                           beegfs-csi                                  community-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     false       false      false    BeeGFS CSI Driver
bookkeeper-operator                                  <none>                                      certified-operators   openshift-marketplace   stable                               alpha,beta,hotfix,stable                                                                                                                                                      true     true        false      true     BookKeeper Operator
bookkeeper-operator                                  <none>                                      community-operators   openshift-marketplace   stable                               alpha,beta,stable                                                                                                                                                             true     true        false      true     BookKeeper Operator
businessautomation-operator                          <none>                                      redhat-operators      openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      false    Business Automation
camel-k                                              <none>                                      community-operators   openshift-marketplace   stable-1.12                          stable,stable-1.10,stable-1.11,stable-1.12,stable-1.5,stable-1.6,stable-1.7,stable-1.8,stable-1.9                                                                             true     true        false      true     Camel K Operator
camel-karavan-operator                               <none>                                      community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         <none>   <none>      <none>     true     Camel Karavan Operator
cass-operator                                        <none>                                      certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        true       true     DataStax Kubernetes Operator for Apache Cassandra
cass-operator-community                              <none>                                      community-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        true       true     DataStax Kubernetes Operator for Apache Cassandra
ccm-node-agent-dcap-operator                         <none>                                      certified-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     CCM Node Agent DCAP Operator
ccm-node-agent-operator                              <none>                                      certified-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     CCM Node Agent Operator
cert-manager                                         <none>                                      community-operators   openshift-marketplace   stable                               candidate,stable                                                                                                                                                              false    false       false      true     cert-manager
cert-utils-operator                                  cert-utils-operator                         community-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         false    false       false      true     Cert Utils Operator
cilium                                               <none>                                      certified-operators   openshift-marketplace   1.13                                 1.10,1.11,1.12,1.13,1.9,stable                                                                                                                                                true     true        false      false    Cilium
cilium-enterprise                                    <none>                                      certified-operators   openshift-marketplace   1.11                                 1.10,1.11                                                                                                                                                                     true     true        false      false    Cilium Enterprise
cincinnati-operator                                  openshift-update-service                    redhat-operators      openshift-marketplace   v1                                   v1                                                                                                                                                                            true     false       false      false    OpenShift Update Service
cisco-hxcsi-operator                                 openshift-operators                         certified-operators   openshift-marketplace   stable                               stable                                                                                                                                                                        true     true        false      true     Cisco Hyperflex CSI Operator
citrix-adc-istio-ingress-gateway-operator            <none>                                      certified-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        false      true     Citrix ADC Istio Ingress Gateway Operator
citrix-cpx-istio-sidecar-injector-operator           <none>                                      certified-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        false      true     Citrix ADC CPX Istio Sidecar Injector Operator
citrix-cpx-with-ingress-controller-operator          <none>                                      certified-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        true       true     Citrix ADC CPX with Ingress Controller
citrix-cpx-with-ingress-controller-operator-rhmp     <none>                                      redhat-marketplace    openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        false      true     Citrix ADC CPX with Ingress Controller
citrix-ingress-controller-operator                   <none>                                      certified-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        true       true     Citrix Ingress Controller
citrix-ingress-controller-operator-rhmp              <none>                                      redhat-marketplace    openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        false      true     Citrix Ingress Controller
cloud-native-postgresql                              <none>                                      certified-operators   openshift-marketplace   stable-v1.19                         fast,null,stable,stable-v1.15,stable-v1.16,stable-v1.17,stable-v1.18,stable-v1.19                                                                                             true     true        true       true     EDB Postgres for Kubernetes
cloudbees-ci                                         <none>                                      certified-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        true       true     CloudBees CI
cloudbees-ci-rhmp                                    <none>                                      redhat-marketplace    openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        true       true     CloudBees CI
cloudcasa-operator                                   <none>                                      certified-operators   openshift-marketplace   alpha                                alpha                                                                                                                                                                         true     true        true       true     CloudCasa
cluster-impairment-operator                          <none>                                      community-operators   openshift-marketplace   beta                                 beta                                                                                                                                                                          false    false       false      true     cluster-impairment-operator
cluster-kube-descheduler-operator                    <none>                                      redhat-operators      openshift-marketplace   stable                               4.10,stable                                                                                                                                                                   true     true        false      false    Kube Descheduler Operator
cluster-logging                                      openshift-logging                           redhat-operators      openshift-marketplace   stable                               stable,stable-5.3,stable-5.4,stable-5.5,stable-5.6                                                                                                                            true     true        false      false    Red Hat OpenShift Logging
